name,common_meal,meal_for_two,one_way_ticket,monthly_pass,gasoline,base_cost,internet,simple_apartment_centre,simple_apartment_outside,large_apartment_centre,large_apartment_outside,salary,status
"Paris, France",15.00 €,60.00 €,1.90 €,75.20 €,2.04 €,181.54 €,30.29 €,"1,309.02 €",966.86 €,"2,853.44 €","1,946.00 €","2,790.97 €","Last update: September 2022
"
name,common_meal,meal_for_two,one_way_ticket,monthly_pass,gasoline,base_cost,internet,simple_apartment_centre,simple_apartment_outside,large_apartment_centre,large_apartment_outside,salary,status
"Lisbon, Portugal",10.00 €,45.00 €,1.60 €,40.00 €,2.04 €,119.63 €,31.65 €,"1,031.45 €",766.56 €,"1,942.11 €","1,199.56 €","1,147.86 €","Last update: September 2022
"
